Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight
Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Cruise
Non-Fatal,Substantial,Airplane,Ecker,Starduster 1,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Luscombe,8A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172B,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Taxi
Non-Fatal,Substantial,Airplane,Savage,RV-8,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,1.0,3.3708830548926016,VMC,Landing
Non-Fatal,Substantial,Airplane,Grumman,G-164A,1.0,Reciprocating,Part 137: Agricultural,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Jeffs,J-Bird,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,2.0,VMC,Maneuvering
Non-Fatal,Substantial,Airplane,Cessna,172A,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Ayres,S-2R,1.0,Turbo Prop,Part 137: Agricultural,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Landing
Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Part 91: General Aviation,1.1167605633802817,0.27351323028556457,0.4613025011798018,1.0,VMC,Taxi
